uf,cod_municipio,municipio,esf,equipes,populacao,equipes_por_100mil,cobertura_pct
MA,210530,IMPERATRIZ,74.0,74.0,285806.0,25.9,90.62
MA,210535,ITAIPAVA DO GRAJAÚ,7.0,9.0,14142.0,63.6,210.36
MA,210540,ITAPECURU MIRIM,28.0,28.0,62264.0,45.0,157.39
MA,210542,ITINGA DO MARANHÃO,12.0,12.0,22896.0,52.4,183.43
MA,210545,JATOBÁ,5.0,5.0,7593.0,65.9,230.47
MA,210547,JENIPAPO DOS VIEIRAS,8.0,9.0,17529.0,51.3,174.71
MA,210560,JOSELÂNDIA,8.0,8.0,15227.0,52.5,183.88
MA,210550,JOÃO LISBOA,12.0,12.0,25311.0,47.4,165.93
MA,210565,JUNCO DO MARANHÃO,3.0,3.0,5282.0,56.8,198.78
MA,210570,LAGO DA PEDRA,25.0,25.0,45865.0,54.5,190.77
MA,210580,LAGO DO JUNCO,5.0,5.0,9687.0,51.6,180.65
MA,210594,LAGO DOS RODRIGUES,4.0,4.0,8962.0,44.6,156.21
MA,210590,LAGO VERDE,8.0,8.0,15069.0,53.1,185.81
MA,210592,LAGOA DO MATO,6.0,6.0,10806.0,55.5,194.33
MA,210596,LAGOA GRANDE DO MARANHÃO,6.0,6.0,11731.0,51.1,179.01
MA,210598,LAJEADO NOVO,4.0,4.0,7232.0,55.3,193.58
MA,210600,LIMA CAMPOS,6.0,6.0,11559.0,51.9,181.67
MA,210610,LORETO,6.0,6.0,11884.0,50.5,176.7
MA,210620,LUÍS DOMINGUES,3.0,3.0,7366.0,40.7,142.54
MA,210630,MAGALHÃES DE ALMEIDA,7.0,7.0,13933.0,50.2,175.84
MA,210632,MARACAÇUMÉ,11.0,11.0,21730.0,50.6,177.17
MA,210635,MARAJÁ DO SENA,4.0,4.0,7153.0,55.9,195.72
MA,210637,MARANHÃOZINHO,8.0,8.0,14092.0,56.8,198.69
MA,210640,MATA ROMA,9.0,9.0,17581.0,51.2,179.17
MA,210650,MATINHA,12.0,12.0,22540.0,53.2,186.33
MA,210660,MATÕES,17.0,17.0,33327.0,51.0,178.53
MA,210663,MATÕES DO NORTE,7.0,7.0,18021.0,38.8,135.95
MA,210667,MILAGRES DO MARANHÃO,4.0,4.0,9065.0,44.1,154.44
MA,210670,MIRADOR,12.0,12.0,21536.0,55.7,195.02
MA,210675,MIRANDA DO NORTE,12.0,12.0,24373.0,49.2,172.32
MA,210680,MIRINZAL,8.0,8.0,14298.0,56.0,195.83
MA,210700,MONTES ALTOS,5.0,5.0,9306.0,53.7,188.05
MA,210690,MONÇÃO,13.0,14.0,28563.0,49.0,165.42
MA,210710,MORROS,9.0,9.0,19015.0,47.3,165.65
MA,210720,NINA RODRIGUES,7.0,7.0,14589.0,48.0,167.93
MA,210725,NOVA COLINAS,3.0,3.0,5148.0,58.3,203.96
MA,210730,NOVA IORQUE,2.0,2.0,4409.0,45.4,158.76
MA,210735,NOVA OLINDA DO MARANHÃO,11.0,11.0,14379.0,76.5,267.75
MA,210740,OLHO D'ÁGUA DAS CUNHÃS,10.0,10.0,18288.0,54.7,191.38
MA,210745,OLINDA NOVA DO MARANHÃO,7.0,7.0,13921.0,50.3,175.99
MA,210760,PALMEIRÂNDIA,10.0,10.0,21657.0,46.2,161.61
MA,210770,PARAIBANO,8.0,9.0,18589.0,48.4,160.04
MA,210780,PARNARAMA,14.0,14.0,32232.0,43.4,152.02
MA,210790,PASSAGEM FRANCA,9.0,9.0,17591.0,51.2,179.06
MA,210800,PASTOS BONS,10.0,10.0,19266.0,51.9,181.66
MA,210805,PAULINO NEVES,8.0,8.0,17578.0,45.5,159.29
MA,210810,PAULO RAMOS,11.0,11.0,20798.0,52.9,185.11
MA,210750,PAÇO DO LUMIAR,24.0,24.0,153158.0,15.7,54.84
MA,210820,PEDREIRAS,20.0,20.0,38252.0,52.3,182.99
MA,210825,PEDRO DO ROSÁRIO,11.0,11.0,24955.0,44.1,154.27
MA,210830,PENALVA,18.0,20.0,33496.0,59.7,203.75
MA,210840,PERI MIRIM,7.0,7.0,11229.0,62.3,218.18
MA,210845,PERITORÓ,11.0,11.0,20903.0,52.6,184.18
MA,210850,PINDARÉ-MIRIM,17.0,17.0,32542.0,52.2,182.84
MA,210860,PINHEIRO,28.0,28.0,88091.0,31.8,111.24
MA,210870,PIO XII,9.0,11.0,22374.0,49.2,156.43
MA,210880,PIRAPEMAS,8.0,8.0,18132.0,44.1,154.42
MA,210900,PORTO FRANCO,10.0,10.0,24571.0,40.7,142.44
MA,210905,PORTO RICO DO MARANHÃO,3.0,3.0,6092.0,49.2,172.35
MA,210890,POÇÃO DE PEDRAS,9.0,9.0,17394.0,51.7,181.09
MA,210910,PRESIDENTE DUTRA,24.0,24.0,46606.0,51.5,180.23
MA,210920,PRESIDENTE JUSCELINO,6.0,6.0,11616.0,51.7,180.78
MA,210923,PRESIDENTE MÉDICI,4.0,4.0,4717.0,84.8,296.79
MA,210927,PRESIDENTE SARNEY,10.0,10.0,17925.0,55.8,195.25
MA,210930,PRESIDENTE VARGAS,6.0,6.0,10791.0,55.6,194.6
