uf,ano,cnae,cnae_nome,tabela,unidades_locais,empresas,pessoal_ocupado_3112,valor_bruto_prod_ind_mil_rs,valor_transf_ind_mil_rs,receita_liquida_vendas_mil_rs,salarios_remuneracoes_mil_rs
PA,2024,116887,07 Extração de minerais metálicos,10457,44.0,18.0,24873.0,94350944.0,46466190.0,94140264.0,
RO,2023,116887,07 Extração de minerais metálicos,1849,28.0,,,,,,
RO,2024,116887,07 Extração de minerais metálicos,10457,23.0,18.0,843.0,860764.0,210252.0,936452.0,
RR,2023,116887,07 Extração de minerais metálicos,1849,1.0,,,,,,
RR,2024,116887,07 Extração de minerais metálicos,10457,1.0,1.0,,,,,
TO,2023,116887,07 Extração de minerais metálicos,1849,1.0,,,,,,
TO,2024,116887,07 Extração de minerais metálicos,10457,4.0,3.0,,,,,
AC,2023,116897,08 Extração de minerais não-metálicos,1849,7.0,,34.0,3308.0,2777.0,3454.0,
AC,2024,116897,08 Extração de minerais não-metálicos,10457,4.0,4.0,58.0,7031.0,4717.0,7136.0,
AM,2023,116897,08 Extração de minerais não-metálicos,1849,9.0,,226.0,168410.0,132565.0,164251.0,
AM,2024,116897,08 Extração de minerais não-metálicos,10457,6.0,4.0,205.0,144407.0,95618.0,138999.0,
AP,2023,116897,08 Extração de minerais não-metálicos,1849,5.0,,81.0,45115.0,40520.0,45115.0,
AP,2024,116897,08 Extração de minerais não-metálicos,10457,5.0,5.0,,,,,
MA,2023,116897,08 Extração de minerais não-metálicos,1849,41.0,,872.0,350824.0,198348.0,342169.0,
MA,2024,116897,08 Extração de minerais não-metálicos,10457,36.0,35.0,863.0,354321.0,194330.0,345014.0,
MT,2023,116897,08 Extração de minerais não-metálicos,1849,131.0,,2780.0,2212458.0,1352566.0,2216702.0,
MT,2024,116897,08 Extração de minerais não-metálicos,10457,125.0,117.0,3276.0,2272154.0,1355330.0,2251039.0,
PA,2023,116897,08 Extração de minerais não-metálicos,1849,52.0,,1277.0,510346.0,358639.0,433902.0,
PA,2024,116897,08 Extração de minerais não-metálicos,10457,54.0,52.0,1338.0,618279.0,402648.0,516764.0,
RO,2023,116897,08 Extração de minerais não-metálicos,1849,49.0,,788.0,237359.0,167169.0,242122.0,
RO,2024,116897,08 Extração de minerais não-metálicos,10457,47.0,44.0,,,,,
RR,2023,116897,08 Extração de minerais não-metálicos,1849,5.0,,,,,,
RR,2024,116897,08 Extração de minerais não-metálicos,10457,6.0,4.0,,,,,
TO,2023,116897,08 Extração de minerais não-metálicos,1849,50.0,,,,,,
TO,2024,116897,08 Extração de minerais não-metálicos,10457,53.0,53.0,,,,,
AC,2023,116905,09 Atividades de apoio à extração de minerais,1849,,,,,,,
AC,2024,116905,09 Atividades de apoio à extração de minerais,10457,,,,,,,
AM,2023,116905,09 Atividades de apoio à extração de minerais,1849,4.0,,105.0,98241.0,62560.0,99934.0,
AM,2024,116905,09 Atividades de apoio à extração de minerais,10457,5.0,4.0,,,,,
