uf,ano,cod_produto,produto,quantidade_t,valor_mil_rs
AC,2022,3435,7.3 - Madeira em tora,409619.0,43363.0
AC,2022,3438,8 - Oleaginosos,0.0,5.0
AC,2022,3440,8.2 - Copaíba (óleo),0.0,5.0
AC,2023,11296,1.10 - Outros,577.0,530.0
AC,2023,3402,1 - Alimentícios,14080.0,72860.0
AC,2023,3403,1.1 - Açaí (fruto),4030.0,6371.0
AC,2023,3405,1.3 - Castanha-do-pará,9473.0,65958.0
AC,2023,3416,3 - Borrachas,750.0,13123.0
AC,2023,3418,3.2 - Hevea (látex coagulado),750.0,13123.0
AC,2023,3423,5 - Fibras,1.0,1.0
AC,2023,3426,5.3 - Piaçava,1.0,1.0
AC,2023,3433,7.1 - Carvão vegetal,1787.0,2256.0
AC,2023,3434,7.2 - Lenha,304511.0,6303.0
AC,2023,3435,7.3 - Madeira em tora,172486.0,19248.0
AC,2023,3438,8 - Oleaginosos,0.0,6.0
AC,2023,3440,8.2 - Copaíba (óleo),0.0,6.0
AC,2024,11296,1.10 - Outros,574.0,616.0
AC,2024,3402,1 - Alimentícios,14666.0,66745.0
AC,2024,3403,1.1 - Açaí (fruto),4145.0,7492.0
AC,2024,3405,1.3 - Castanha-do-pará,9947.0,58636.0
AC,2024,3416,3 - Borrachas,769.0,14888.0
AC,2024,3418,3.2 - Hevea (látex coagulado),769.0,14888.0
AC,2024,3423,5 - Fibras,1.0,1.0
AC,2024,3426,5.3 - Piaçava,1.0,1.0
AC,2024,3433,7.1 - Carvão vegetal,1740.0,2403.0
AC,2024,3434,7.2 - Lenha,262769.0,5776.0
AC,2024,3435,7.3 - Madeira em tora,219160.0,26026.0
AC,2024,3438,8 - Oleaginosos,0.0,5.0
AC,2024,3440,8.2 - Copaíba (óleo),0.0,5.0
AM,2015,11296,1.10 - Outros,45.0,95.0
AM,2015,3402,1 - Alimentícios,79666.0,152755.0
AM,2015,3403,1.1 - Açaí (fruto),65638.0,116535.0
AM,2015,3405,1.3 - Castanha-do-pará,13983.0,36124.0
AM,2015,3411,"2 - Aromáticos, medicinais, tóxicos e corantes",2.0,8.0
AM,2015,3415,2.4 - Outros,2.0,8.0
AM,2015,3416,3 - Borrachas,1084.0,3666.0
AM,2015,3418,3.2 - Hevea (látex coagulado),1084.0,3666.0
AM,2015,3423,5 - Fibras,1931.0,3599.0
AM,2015,3424,5.1 - Buriti,5.0,7.0
AM,2015,3426,5.3 - Piaçava,1763.0,3174.0
AM,2015,3427,5.4 - Outras,163.0,419.0
AM,2015,3428,6 - Gomas não elásticas,1.0,2.0
AM,2015,3431,6.3 - Sorva,1.0,2.0
AM,2015,3433,7.1 - Carvão vegetal,1348.0,2363.0
AM,2015,3434,7.2 - Lenha,812373.0,7305.0
AM,2015,3435,7.3 - Madeira em tora,744485.0,124929.0
AM,2015,3438,8 - Oleaginosos,224.0,3504.0
AM,2015,3439,8.1 - Babaçu (amêndoa),3.0,5.0
AM,2015,3440,8.2 - Copaíba (óleo),127.0,2812.0
AM,2015,3441,8.3 - Cumaru (amêndoa),15.0,90.0
AM,2015,3446,8.8 - Outros,78.0,596.0
AM,2016,11296,1.10 - Outros,68.0,153.0
AM,2016,3402,1 - Alimentícios,72823.0,146208.0
AM,2016,3403,1.1 - Açaí (fruto),57572.0,99761.0
AM,2016,3405,1.3 - Castanha-do-pará,15183.0,46294.0
AM,2016,3411,"2 - Aromáticos, medicinais, tóxicos e corantes",2.0,13.0
AM,2016,3415,2.4 - Outros,2.0,13.0
AM,2016,3416,3 - Borrachas,866.0,2919.0
AM,2016,3418,3.2 - Hevea (látex coagulado),866.0,2919.0
AM,2016,3423,5 - Fibras,2845.0,5094.0
AM,2016,3424,5.1 - Buriti,1.0,5.0
AM,2016,3426,5.3 - Piaçava,2654.0,4621.0
AM,2016,3427,5.4 - Outras,190.0,469.0
AM,2016,3428,6 - Gomas não elásticas,1.0,2.0
AM,2016,3431,6.3 - Sorva,1.0,2.0
AM,2016,3433,7.1 - Carvão vegetal,1278.0,2386.0
AM,2016,3434,7.2 - Lenha,734916.0,7095.0
AM,2016,3435,7.3 - Madeira em tora,993548.0,157057.0
AM,2016,3438,8 - Oleaginosos,338.0,5359.0
AM,2016,3440,8.2 - Copaíba (óleo),142.0,3151.0
AM,2016,3441,8.3 - Cumaru (amêndoa),18.0,144.0
AM,2016,3446,8.8 - Outros,178.0,2065.0
AM,2017,11296,1.10 - Outros,319.0,659.0
AM,2017,3402,1 - Alimentícios,60832.0,122646.0
AM,2017,3403,1.1 - Açaí (fruto),50503.0,91716.0
AM,2017,3405,1.3 - Castanha-do-pará,10011.0,30272.0
AM,2017,3416,3 - Borrachas,619.0,2272.0
AM,2017,3418,3.2 - Hevea (látex coagulado),619.0,2272.0
AM,2017,3423,5 - Fibras,2041.0,2733.0
AM,2017,3424,5.1 - Buriti,1.0,4.0
AM,2017,3426,5.3 - Piaçava,1858.0,2295.0
AM,2017,3427,5.4 - Outras,182.0,434.0
AM,2017,3428,6 - Gomas não elásticas,1.0,2.0
AM,2017,3431,6.3 - Sorva,1.0,2.0
AM,2017,3433,7.1 - Carvão vegetal,1259.0,2405.0
AM,2017,3434,7.2 - Lenha,651427.0,6651.0
AM,2017,3435,7.3 - Madeira em tora,875750.0,150506.0
AM,2017,3438,8 - Oleaginosos,345.0,4265.0
AM,2017,3440,8.2 - Copaíba (óleo),141.0,3085.0
AM,2017,3441,8.3 - Cumaru (amêndoa),19.0,172.0
AM,2017,3446,8.8 - Outros,186.0,1008.0
AM,2018,11296,1.10 - Outros,1400.0,2606.0
AM,2018,3402,1 - Alimentícios,60972.0,133416.0
AM,2018,3403,1.1 - Açaí (fruto),47410.0,94161.0
AM,2018,3405,1.3 - Castanha-do-pará,12161.0,36649.0
AM,2018,3416,3 - Borrachas,445.0,2070.0
AM,2018,3418,3.2 - Hevea (látex coagulado),445.0,2070.0
AM,2018,3423,5 - Fibras,1636.0,2364.0
AM,2018,3424,5.1 - Buriti,23.0,48.0
AM,2018,3426,5.3 - Piaçava,1603.0,2284.0
AM,2018,3427,5.4 - Outras,11.0,32.0
AM,2018,3428,6 - Gomas não elásticas,1.0,2.0
AM,2018,3431,6.3 - Sorva,1.0,2.0
AM,2018,3433,7.1 - Carvão vegetal,987.0,1854.0
AM,2018,3434,7.2 - Lenha,628380.0,7370.0
AM,2018,3435,7.3 - Madeira em tora,826207.0,152323.0
AM,2018,3438,8 - Oleaginosos,298.0,3531.0
AM,2018,3440,8.2 - Copaíba (óleo),136.0,3140.0
AM,2018,3441,8.3 - Cumaru (amêndoa),22.0,208.0
AM,2018,3446,8.8 - Outros,139.0,183.0
AM,2019,110011,4.3 - Outras,217.0,729.0
AM,2019,11296,1.10 - Outros,1871.0,4157.0
AM,2019,3402,1 - Alimentícios,57908.0,115593.0
AM,2019,3403,1.1 - Açaí (fruto),43855.0,75543.0
AM,2019,3405,1.3 - Castanha-do-pará,12182.0,35893.0
AM,2019,3416,3 - Borrachas,389.0,1889.0
AM,2019,3418,3.2 - Hevea (látex coagulado),389.0,1889.0
AM,2019,3420,4 - Ceras,217.0,729.0
AM,2019,3423,5 - Fibras,1811.0,2920.0
AM,2019,3424,5.1 - Buriti,13.0,30.0
AM,2019,3426,5.3 - Piaçava,1786.0,2854.0
AM,2019,3427,5.4 - Outras,12.0,37.0
AM,2019,3428,6 - Gomas não elásticas,1.0,3.0
AM,2019,3431,6.3 - Sorva,1.0,3.0
AM,2019,3433,7.1 - Carvão vegetal,940.0,1857.0
AM,2019,3434,7.2 - Lenha,597097.0,8459.0
AM,2019,3435,7.3 - Madeira em tora,841135.0,155631.0
AM,2019,3438,8 - Oleaginosos,248.0,3624.0
AM,2019,3440,8.2 - Copaíba (óleo),133.0,3167.0
AM,2019,3441,8.3 - Cumaru (amêndoa),33.0,320.0
AM,2019,3446,8.8 - Outros,82.0,137.0
AM,2020,110011,4.3 - Outras,202.0,717.0
AM,2020,11296,1.10 - Outros,1730.0,3968.0
AM,2020,3402,1 - Alimentícios,57170.0,113306.0
AM,2020,3403,1.1 - Açaí (fruto),43733.0,74553.0
AM,2020,3405,1.3 - Castanha-do-pará,11707.0,34785.0
AM,2020,3416,3 - Borrachas,393.0,2002.0
AM,2020,3418,3.2 - Hevea (látex coagulado),393.0,2002.0
AM,2020,3420,4 - Ceras,202.0,717.0
AM,2020,3423,5 - Fibras,2453.0,6146.0
AM,2020,3424,5.1 - Buriti,13.0,31.0
AM,2020,3426,5.3 - Piaçava,2433.0,6092.0
AM,2020,3427,5.4 - Outras,7.0,22.0
AM,2020,3428,6 - Gomas não elásticas,1.0,3.0
AM,2020,3431,6.3 - Sorva,1.0,3.0
AM,2020,3433,7.1 - Carvão vegetal,954.0,1917.0
AM,2020,3434,7.2 - Lenha,593366.0,8024.0
AM,2020,3435,7.3 - Madeira em tora,844628.0,148770.0
AM,2020,3438,8 - Oleaginosos,336.0,3870.0
AM,2020,3440,8.2 - Copaíba (óleo),135.0,3298.0
AM,2020,3441,8.3 - Cumaru (amêndoa),28.0,264.0
AM,2020,3446,8.8 - Outros,172.0,309.0
AM,2021,110011,4.3 - Outras,174.0,649.0
AM,2021,11296,1.10 - Outros,2232.0,6477.0
AM,2021,3402,1 - Alimentícios,59177.0,139918.0
AM,2021,3403,1.1 - Açaí (fruto),45208.0,94891.0
AM,2021,3405,1.3 - Castanha-do-pará,11737.0,38549.0
AM,2021,3416,3 - Borrachas,374.0,1994.0
AM,2021,3418,3.2 - Hevea (látex coagulado),374.0,1994.0
AM,2021,3420,4 - Ceras,174.0,649.0
AM,2021,3423,5 - Fibras,2476.0,6839.0
AM,2021,3424,5.1 - Buriti,13.0,30.0
AM,2021,3426,5.3 - Piaçava,2456.0,6784.0
AM,2021,3427,5.4 - Outras,8.0,24.0
AM,2021,3428,6 - Gomas não elásticas,1.0,4.0
AM,2021,3431,6.3 - Sorva,1.0,4.0
AM,2021,3433,7.1 - Carvão vegetal,937.0,2198.0
AM,2021,3434,7.2 - Lenha,568725.0,8336.0
AM,2021,3435,7.3 - Madeira em tora,875662.0,136266.0
AM,2021,3438,8 - Oleaginosos,344.0,4611.0
AM,2021,3440,8.2 - Copaíba (óleo),140.0,3804.0
AM,2021,3441,8.3 - Cumaru (amêndoa),35.0,498.0
AM,2021,3445,8.7 - Tucum (amêndoa),25.0,88.0
AM,2021,3446,8.8 - Outros,144.0,222.0
AM,2022,110011,4.3 - Outras,103.0,458.0
AM,2022,11296,1.10 - Outros,3284.0,9577.0
AM,2022,3402,1 - Alimentícios,71316.0,178595.0
AM,2022,3403,1.1 - Açaí (fruto),53729.0,122562.0
AM,2022,3405,1.3 - Castanha-do-pará,14303.0,46456.0
AM,2022,3416,3 - Borrachas,313.0,1999.0
AM,2022,3418,3.2 - Hevea (látex coagulado),313.0,1999.0
AM,2022,3420,4 - Ceras,103.0,458.0
AM,2022,3423,5 - Fibras,2029.0,6078.0
AM,2022,3424,5.1 - Buriti,13.0,31.0
AM,2022,3426,5.3 - Piaçava,2008.0,6020.0
AM,2022,3427,5.4 - Outras,8.0,28.0
AM,2022,3428,6 - Gomas não elásticas,1.0,4.0
AM,2022,3431,6.3 - Sorva,1.0,4.0
AM,2022,3433,7.1 - Carvão vegetal,935.0,2364.0
AM,2022,3434,7.2 - Lenha,564910.0,9233.0
AM,2022,3435,7.3 - Madeira em tora,884669.0,137337.0
AM,2022,3438,8 - Oleaginosos,337.0,7443.0
AM,2022,3440,8.2 - Copaíba (óleo),191.0,6433.0
AM,2022,3441,8.3 - Cumaru (amêndoa),38.0,713.0
AM,2022,3445,8.7 - Tucum (amêndoa),28.0,98.0
AM,2022,3446,8.8 - Outros,81.0,199.0
AM,2023,110011,4.3 - Outras,144.0,621.0
AM,2023,11296,1.10 - Outros,3015.0,10104.0
AM,2023,3402,1 - Alimentícios,58185.0,180761.0
AM,2023,3403,1.1 - Açaí (fruto),43877.0,127035.0
AM,2023,3405,1.3 - Castanha-do-pará,11291.0,43616.0
AM,2023,3416,3 - Borrachas,353.0,3725.0
AM,2023,3418,3.2 - Hevea (látex coagulado),353.0,3725.0
AM,2023,3420,4 - Ceras,144.0,621.0
AM,2023,3423,5 - Fibras,2035.0,7102.0
AM,2023,3424,5.1 - Buriti,16.0,34.0
AM,2023,3426,5.3 - Piaçava,2006.0,7018.0
AM,2023,3427,5.4 - Outras,13.0,49.0
AM,2023,3433,7.1 - Carvão vegetal,949.0,2105.0
AM,2023,3434,7.2 - Lenha,563778.0,10671.0
AM,2023,3435,7.3 - Madeira em tora,906211.0,136028.0
AM,2023,3438,8 - Oleaginosos,478.0,10301.0
AM,2023,3440,8.2 - Copaíba (óleo),236.0,9220.0
AM,2023,3441,8.3 - Cumaru (amêndoa),35.0,664.0
AM,2023,3445,8.7 - Tucum (amêndoa),28.0,84.0
AM,2023,3446,8.8 - Outros,179.0,333.0
AM,2023,39409,1.7 - Pequi (fruto),2.0,6.0
AM,2024,110011,4.3 - Outras,120.0,552.0
AM,2024,11296,1.10 - Outros,3469.0,13001.0
AM,2024,3402,1 - Alimentícios,67588.0,200102.0
AM,2024,3403,1.1 - Açaí (fruto),52547.0,141619.0
AM,2024,3405,1.3 - Castanha-do-pará,11570.0,45475.0
AM,2024,3416,3 - Borrachas,532.0,6959.0
AM,2024,3418,3.2 - Hevea (látex coagulado),532.0,6959.0
AM,2024,3420,4 - Ceras,120.0,552.0
AM,2024,3423,5 - Fibras,5070.0,15232.0
AM,2024,3424,5.1 - Buriti,18.0,29.0
AM,2024,3426,5.3 - Piaçava,5039.0,15148.0
AM,2024,3427,5.4 - Outras,13.0,55.0
AM,2024,3433,7.1 - Carvão vegetal,1040.0,2145.0
AM,2024,3434,7.2 - Lenha,410672.0,9484.0
AM,2024,3435,7.3 - Madeira em tora,817194.0,129343.0
AM,2024,3438,8 - Oleaginosos,587.0,12324.0
AM,2024,3440,8.2 - Copaíba (óleo),240.0,10702.0
AM,2024,3441,8.3 - Cumaru (amêndoa),33.0,815.0
AM,2024,3446,8.8 - Outros,314.0,807.0
AM,2024,39409,1.7 - Pequi (fruto),2.0,7.0
AP,2015,3402,1 - Alimentícios,2907.0,3964.0
AP,2015,3403,1.1 - Açaí (fruto),2413.0,3303.0
AP,2015,3405,1.3 - Castanha-do-pará,473.0,632.0
AP,2015,3408,1.6 - Palmito,22.0,29.0
AP,2015,3433,7.1 - Carvão vegetal,1042.0,1364.0
AP,2015,3434,7.2 - Lenha,459555.0,4056.0
AP,2015,3435,7.3 - Madeira em tora,673254.0,29661.0
AP,2016,3402,1 - Alimentícios,3135.0,4695.0
AP,2016,3403,1.1 - Açaí (fruto),2627.0,3942.0
AP,2016,3405,1.3 - Castanha-do-pará,489.0,726.0
AP,2016,3408,1.6 - Palmito,18.0,27.0
AP,2016,3433,7.1 - Carvão vegetal,1140.0,1697.0
AP,2016,3434,7.2 - Lenha,525328.0,4962.0
AP,2016,3435,7.3 - Madeira em tora,757204.0,34001.0
AP,2017,3402,1 - Alimentícios,3265.0,5300.0
AP,2017,3403,1.1 - Açaí (fruto),2770.0,4505.0
AP,2017,3405,1.3 - Castanha-do-pará,476.0,765.0
AP,2017,3408,1.6 - Palmito,19.0,30.0
AP,2017,3433,7.1 - Carvão vegetal,1222.0,1981.0
AP,2017,3434,7.2 - Lenha,583173.0,6186.0
AP,2017,3435,7.3 - Madeira em tora,804619.0,37200.0
AP,2018,3402,1 - Alimentícios,3327.0,6193.0
AP,2018,3403,1.1 - Açaí (fruto),2873.0,5338.0
AP,2018,3405,1.3 - Castanha-do-pará,437.0,824.0
AP,2018,3408,1.6 - Palmito,17.0,31.0
AP,2018,3433,7.1 - Carvão vegetal,1278.0,2445.0
AP,2018,3434,7.2 - Lenha,620081.0,7292.0
AP,2018,3435,7.3 - Madeira em tora,857233.0,40568.0
AP,2019,3402,1 - Alimentícios,3479.0,6903.0
AP,2019,3403,1.1 - Açaí (fruto),3059.0,6064.0
AP,2019,3405,1.3 - Castanha-do-pará,405.0,811.0
AP,2019,3408,1.6 - Palmito,14.0,28.0
AP,2019,3433,7.1 - Carvão vegetal,1359.0,2824.0
AP,2019,3434,7.2 - Lenha,672783.0,8397.0
AP,2019,3435,7.3 - Madeira em tora,882217.0,42052.0
AP,2020,3402,1 - Alimentícios,3496.0,7329.0
AP,2020,3403,1.1 - Açaí (fruto),3067.0,6394.0
AP,2020,3405,1.3 - Castanha-do-pará,416.0,906.0
AP,2020,3408,1.6 - Palmito,14.0,28.0
AP,2020,3433,7.1 - Carvão vegetal,1383.0,3043.0
AP,2020,3434,7.2 - Lenha,680665.0,8800.0
AP,2020,3435,7.3 - Madeira em tora,848489.0,40178.0
AP,2021,3402,1 - Alimentícios,3618.0,8804.0
AP,2021,3403,1.1 - Açaí (fruto),3207.0,7800.0
AP,2021,3405,1.3 - Castanha-do-pará,397.0,971.0
AP,2021,3408,1.6 - Palmito,14.0,32.0
AP,2021,3433,7.1 - Carvão vegetal,1355.0,3410.0
AP,2021,3434,7.2 - Lenha,656017.0,9420.0
AP,2021,3435,7.3 - Madeira em tora,789578.0,40580.0
AP,2022,3402,1 - Alimentícios,3711.0,10357.0
AP,2022,3403,1.1 - Açaí (fruto),3298.0,9154.0
AP,2022,3405,1.3 - Castanha-do-pará,400.0,1168.0
AP,2022,3408,1.6 - Palmito,13.0,35.0
AP,2022,3433,7.1 - Carvão vegetal,1400.0,4234.0
AP,2022,3434,7.2 - Lenha,671022.0,10377.0
AP,2022,3435,7.3 - Madeira em tora,811367.0,43087.0
AP,2023,3402,1 - Alimentícios,3693.0,11082.0
AP,2023,3403,1.1 - Açaí (fruto),3296.0,9852.0
AP,2023,3405,1.3 - Castanha-do-pará,384.0,1194.0
AP,2023,3408,1.6 - Palmito,13.0,37.0
AP,2023,3433,7.1 - Carvão vegetal,1354.0,4370.0
AP,2023,3434,7.2 - Lenha,660316.0,10736.0
AP,2023,3435,7.3 - Madeira em tora,817774.0,44353.0
AP,2024,3402,1 - Alimentícios,4005.0,13248.0
AP,2024,3403,1.1 - Açaí (fruto),3598.0,11841.0
AP,2024,3405,1.3 - Castanha-do-pará,395.0,1371.0
AP,2024,3408,1.6 - Palmito,11.0,37.0
AP,2024,3433,7.1 - Carvão vegetal,1230.0,4488.0
AP,2024,3434,7.2 - Lenha,710185.0,12413.0
AP,2024,3435,7.3 - Madeira em tora,887190.0,49784.0
MA,2015,3402,1 - Alimentícios,14866.0,21881.0
MA,2015,3403,1.1 - Açaí (fruto),14864.0,21876.0
MA,2015,3407,1.5 - Mangaba (fruto),2.0,5.0
MA,2015,3411,"2 - Aromáticos, medicinais, tóxicos e corantes",285.0,900.0
MA,2015,3413,2.2 - Jaborandi (folha),201.0,762.0
MA,2015,3415,2.4 - Outros,84.0,137.0
MA,2015,3420,4 - Ceras,569.0,2950.0
MA,2015,3421,4.1 - Carnaúba (cera),49.0,564.0
MA,2015,3422,4.2 - Carnaúba (pó),520.0,2386.0
MA,2015,3423,5 - Fibras,158.0,1771.0
MA,2015,3424,5.1 - Buriti,135.0,1552.0
MA,2015,3425,5.2 - Carnaúba,8.0,31.0
MA,2015,3426,5.3 - Piaçava,6.0,13.0
MA,2015,3427,5.4 - Outras,9.0,176.0
MA,2015,3433,7.1 - Carvão vegetal,229318.0,154672.0
MA,2015,3434,7.2 - Lenha,2329822.0,52235.0
MA,2015,3435,7.3 - Madeira em tora,138803.0,17917.0
MA,2015,3438,8 - Oleaginosos,73824.0,100365.0
MA,2015,3439,8.1 - Babaçu (amêndoa),73640.0,99655.0
MA,2015,3440,8.2 - Copaíba (óleo),0.0,2.0
MA,2015,3445,8.7 - Tucum (amêndoa),166.0,621.0
MA,2015,3446,8.8 - Outros,17.0,88.0
MA,2016,3402,1 - Alimentícios,17509.0,25427.0
MA,2016,3403,1.1 - Açaí (fruto),17508.0,25422.0
MA,2016,3407,1.5 - Mangaba (fruto),2.0,5.0
MA,2016,3411,"2 - Aromáticos, medicinais, tóxicos e corantes",254.0,882.0
MA,2016,3413,2.2 - Jaborandi (folha),194.0,762.0
MA,2016,3415,2.4 - Outros,60.0,119.0
MA,2016,3420,4 - Ceras,562.0,2961.0
MA,2016,3422,4.2 - Carnaúba (pó),562.0,2961.0
MA,2016,3423,5 - Fibras,154.0,1733.0
MA,2016,3424,5.1 - Buriti,134.0,1568.0
MA,2016,3425,5.2 - Carnaúba,7.0,29.0
MA,2016,3426,5.3 - Piaçava,5.0,13.0
MA,2016,3427,5.4 - Outras,7.0,124.0
MA,2016,3433,7.1 - Carvão vegetal,160851.0,120006.0
MA,2016,3434,7.2 - Lenha,2094874.0,49868.0
MA,2016,3435,7.3 - Madeira em tora,110782.0,16718.0
MA,2016,3438,8 - Oleaginosos,57575.0,85478.0
MA,2016,3439,8.1 - Babaçu (amêndoa),57400.0,84762.0
MA,2016,3440,8.2 - Copaíba (óleo),0.0,2.0
MA,2016,3445,8.7 - Tucum (amêndoa),161.0,632.0
MA,2016,3446,8.8 - Outros,15.0,83.0
MA,2017,11296,1.10 - Outros,35.0,46.0
MA,2017,3402,1 - Alimentícios,18395.0,29286.0
MA,2017,3403,1.1 - Açaí (fruto),18330.0,29195.0
MA,2017,3407,1.5 - Mangaba (fruto),5.0,20.0
MA,2017,3411,"2 - Aromáticos, medicinais, tóxicos e corantes",156.0,610.0
MA,2017,3413,2.2 - Jaborandi (folha),156.0,610.0
